position,name,address,phone,website,rating,reviews
1,"Premium Roofing Ltd.","1502 Sutherland Ave #202, Kelowna, BC V1Y 5Y6","(250) 258-8600",http://premiumroofingltd.com/,4.8,101
2,"Best Quality Roofing","220 Neave Rd #7, Kelowna, BC V1V 2L9","(250) 258-7755",https://www.bcroofing.ca/,4.8,50
3,"Credo roofing","2382 Rhondda Crescent, Kelowna, BC V1Y 8A3","(236) 338-1753",https://credo-roofing.com/,5.0,13
4,"OK Roof Revival","1123 St Paul St, Kelowna, BC V1Y 2C6","(778) 215-6577",https://okroofrevival.com/,4.9,35
5,"Roof Doctor","715 Evans Ct, Kelowna, BC V1X 6G4","(250) 765-3013",http://www.roofdoctor.ca/contact-us,4.7,138
6,"Archer Roofing Inc","313 Raven Dr, Kelowna, BC V1W 4T6","(250) 808-6297",http://archerroofing.ca/roof-repair-kelowna/,5.0,127
7,"Orchard Roofing","1453 Collison Rd, Kelowna, BC V1X 1K9","(250) 681-1891","http://orchardroofing.ca/?UTM_source=GBP_listing&UTM_medium=organic",4.8,40
8,"PCC Roofing - Kelowna","Harvey Ave Unit #214-200, Kelowna, BC V1Y 6G4","(604) 554-0962",http://www.pccroofing.ca/,5.0,2
9,"Osland Roofing","220 Nickel Rd, Kelowna, BC V1X 0A5","(250) 870-6727",https://www.oslandroofing.com/,5.0,29
10,"JV Roofing LTD.","275 Rutland Rd N, Kelowna, BC V1X 3B1","(250) 863-7172",https://www.jv-roofing.ca/,4.6,32
